TARGETID,Z_1,TARGET_RA_1,TARGET_DEC_1,SURVEY
2349891258941440,0.43910575819409614,185.8964,-2.1752,main
2349891258941441,0.4392000956081584,185.8975,-2.1747,main
2349891527376897,1.3742187052071937,201.7832,-2.2998,main
2349891657400321,0.46791996737746955,209.7236,-2.2571,main
2349893964267521,0.8104295514200477,347.0841,-2.1869,main
2349894178177025,0.1930958043416128,359.885,-2.26,main
2349894534692865,0.73177791429847,21.17186981,-1.95888019,main
2349894710853633,0.8244581267927223,31.6722,-2.0054,main
2349894744408065,0.6613712672260109,33.53286537,-2.10816896,main
2349894761185281,0.30095198313280314,34.5993,-1.9847,main
2349894811516929,0.423084407333276,37.6584,-1.8801,main
2349894866042881,0.7716363431481323,40.8736,-1.9369,main
2349896371798017,1.4094412859570569,130.7276,-2.0264,main
2349896388575233,0.1925139102817915,131.6367,-1.9057,main
